Company,Price,Change,% Change,Volume,YTD Change
MMM 3M,164.53,0.7,0.43%,"2870298",-13.65%
AXP American Express,118.59,-0.32,-0.27%,"2910998",24.41%
AAPL Apple,218.82,-1.07,-0.49%,"25361285",38.72%
BA Boeing,382.86,-4.03,-1.04%,"2732148",18.72%
CAT Caterpillar,126.59,0.2,0.16%,"2214299",-0.38%
CVX Chevron,118.6,-1.56,-1.30%,"6850689",9.02%
CSCO Cisco,48.84,0.01,0.02%,"16065692",12.72%
KO Coca-Cola,54.31,-0.08,-0.15%,"7941142",14.70%
DIS Disney,129.96,-1.31,-1.00%,"8402934",18.52%
DOW Dow Chemical,47.07,-0.16,-0.34%,"3725668",--
XOM Exxon Mobil,71.48,0.51,0.72%,"8224747",4.82%
GS Goldman Sachs,208.97,0.75,0.36%,"1531374",25.09%
HD Home Depot,229.86,0.07,0.03%,"3152242",33.78%
IBM IBM,143.24,-0.31,-0.22%,"2357082",26.01%
INTC Intel,50.78,-0.14,-0.27%,"14846405",8.20%
JNJ Johnson & Johnson,128.6,-0.25,-0.19%,"6006690",-0.35%
JPM JPMorgan Chase,117.72,0.69,0.59%,"10207958",20.59%
MCD McDonald's,213.16,0.56,0.26%,"2333187",20.04%
MRK Merck,82.91,-0.97,-1.16%,"7468756",8.51%
MSFT Microsoft,137.73,-1.81,-1.30%,"22498958",35.60%
NKE Nike,92.31,0.14,0.15%,"6424104",24.51%
PFE Pfizer,36.22,0.44,1.23%,"16682904",-17.02%
PG Procter & Gamble,124.57,0.26,0.21%,"5590415",35.52%
TRV Travelers Companies Inc,148,-0.1,-0.07%,"1204077",23.59%
UTX United Technologies,136.39,-1.14,-0.83%,"2138055",28.09%
UNH UnitedHealth,215.26,-0.22,-0.10%,"4835579",-13.59%
VZ Verizon,60.3,-0.14,-0.23%,"7799072",7.26%
V Visa,174,-1.65,-0.94%,"9307300",31.88%
WMT Wal-Mart,118.45,0.15,0.13%,"3435556",27.16%
WBA Walgreen,54.41,0.33,0.61%,"3403067",-20.37%
